source,author,title,description,publish_date
BBC News,,'Prosthetic makes me feel I have got my face back',Portraits of people who wear facial prosthetics go on display in Leeds as part of a research study.,2024-11-10 09:09:22
Yahoo Entertainment,Reuters,"Russia's Yandex plans to invest in Indonesia's AI, minister says","Russia's internet giant Yandex plans to invest in Indonesia's artificial intelligence (AI) ecosystem, the Southeast Asian country's communications and...",2024-11-08 11:43:48
CNET,Barbara Pazur,What Is Quantum AI? Everything to Know About This Far-Out Twist,"As if AI itself weren't futuristic enough, now there's a whole new leap forward on the horizon.",2024-11-08 15:02:00
Scientific American,"Rachel Feltman, Fonda Mwangi, Jeffery DelViscio",Using Chatbots and Ancient Writing to Simulate the Cultural Attitudes of Ancient Civilizations,Social psychologists could turn artificial-intelligence-powered tools like ChatGPT on to writings from past cultures. Will this help us study ancient civilizations?,2024-11-22 11:00:00
Fox News,Fox News Staff,Fox News AI Newsletter: Mr. Miyagi's dramatic return,Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-23 14:00:04
MacRumors,Tim Hardwick,'Spotify Wrapped' Recaps Your Listening History for 2024 Using AI Hosts,"Spotify has made its annual recap feature ""Spotify Wrapped"" available to users on the iOS and Android app. This feature tracks your top artists, genres, songs, podcasts, and minutes listened, and generates graphics for sharing on social media. 





This year…",2024-12-04 14:21:07
Fox News,Fox News Staff,"Fox News AI Newsletter: AI developers discover 'Donald Trump neuron', expert says",Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-13 16:56:33
Business Insider,Lauren Edmonds,Sarah Silverman says her lawsuit against OpenAI is difficult because the company is one of the 'richest entities in the world',Sarah Silverman discussed her ongoing  copyright infringement lawsuit against OpenAI with actor Rob Lowe in a podcast published on Thursday.,2024-11-21 21:01:25
Fox News,Fox News Staff,Fox News AI Newsletter: Beatles song will 'push the limit',Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-16 13:30:42
Business Insider,lvaranasi@insider.com (Lakshmi Varanasi),Return fraud is costing retailers billions. A new AI program can spot when scammers send back counterfeits.,Vrai AI claims to distinguish between real and fake products with near perfect accuracy.,2024-11-30 14:07:01
Fox News,Fox News Staff,Fox News AI Newsletter: 'It might kill us all',Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-09 13:30:30
Fox News,Fox News Staff,Fox News AI Newsletter: 'Trump will be very good at' AI infrastructure,Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents,2024-12-07 13:30:30
CNET,Bree Fowler,"Deepfakes and AI Weren't a Big Part of Election Disinformation, Meta Says","While foreign disinformation campaigns did try to sway voters in the US and elsewhere, artificial intelligence tools didn't play a big role.",2024-12-03 23:10:14
Gizmodo.com,Matthew Gault,Sam Altman May Be One of the Biggest Losers of This Election,OpenAI is going through a rough patch and it's Elon's turn to take revenge.,2024-11-08 17:30:56
Gizmodo.com,Matthew Gault,AI Has Enshittified America’s Advanced Stealth Fighter,A new report on the F-35 revealed how maintenance crews have to constantly fight its terrible AI systems to get anything done.,2024-11-21 20:20:57
Gizmodo.com,Matt Novak,Bitter Americans React to UnitedHealthcare CEO’s Murder: ‘My Empathy Is Out of Network’,UnitedHealth's social media was flooded with scathing comments after the apparent assassination of its executive in New York City.,2024-12-05 01:22:01
Gizmodo.com,Matt Novak,Elon Musk and Vivek Ramaswamy Promise New Podcast to Discuss Destruction of U.S. Government,Elon Musk and Vivek Ramaswamy have suggested they'll cut $2 trillion in government spending with DOGE.,2024-11-21 19:05:43
Gizmodo.com,Lucas Ropek,"Billionaire Marc Benioff, Owner of Time, Uses Magazine to Promote His AI Software",Benioff wants you to get excited for the AI revolution.,2024-12-01 17:10:28
Slashdot.org,EditorDavid,Coding Boot Gamp Graduates Find tough Prospects In an AI-Powered World,"An anonymous reader shared this report from the New York Times:

Between the time [construction worker Florencio] Rendon applied for the coding boot camp and the time he graduated, what Mr. Rendon imagined as a ""golden ticket"" to a better life had expired. Ab…",2024-11-24 22:04:00
Slashdot.org,EditorDavid,"ChatGPT-4 Beat Doctors at Diagnosing Illness, Study Finds","Dr. Adam Rodman, a Boston-based internal medicine expert, helped design a study testing 50 licensed physicians to see whether ChatGPT improved their diagnoses, reports the New York TImes. The results? ""Doctors who were given ChatGPT-4 along with conventional …",2024-11-18 09:04:00
POWER magazine,Aaron Larson,Artificial Intelligence Has Entered the Nuclear Industry and Its Early Benefits Are Just the Tip of the Iceberg,A collaboration between startup Atomic Canyon and the Oak Ridge National Laboratory allowed construction of a sentence-embedding model using 53 million pages...,2024-11-19 23:09:16
Business Insider,Katie Balevic,Google DeepMind says its new AI weather prediction tool outperforms top forecasters,"Google DeepMind said its  new AI weather prediction tool, which is called GenCast, outperformed existing forecasting systems in trials.",2024-12-04 21:39:31
Springwise.com,Matthew Hempstead,"New, artificial plants purify indoor air",The innovative technology captures CO2 and generates clean electricity,2024-11-26 05:55:00
Android Central,jerry.hildenbrand@futurenet.com (Jerry Hildenbrand),Canada's government is opening a research center for AI safety. The US should do the same.,AI is worth using as long as it's done the right way.,2024-11-16 16:00:00
Futurity: Research News,Norwegian University of Science and Technology,Artificial nose can smell if food has gone bad,Researchers have created a new artificial nose that can sniff out damaged fruit and spoiled meat. It could also hunt for diseases.,2024-11-11 19:21:38
New Scientist,Matthew Sparkes,AI can analyse a decomposing body to help pinpoint the time of death,"Determining when someone died based on their decomposing body is a subjective task, but artificial intelligence could bring some objectivity to the process",2024-11-28 17:33:09
Wired,Brenda Stolyar,"15 Best Apple Black Friday Deals (2024): MacBooks, iPads, AirPods","Are Apple's gadgets on your holiday gift lists this year? You're in luck. Our favorite MacBooks, Apple Watches, iPads, and AirPods are all on sale.",2024-11-29 13:08:16
Techdirt,Daily Deal,Daily Deal: The Complete ChatGPT Artificial Intelligence OpenAI Training Bundle,"The Complete ChatGPT Artificial Intelligence OpenAI Training Bundle has 4 beginner-friendly courses to help you become more comfortable with the capabilities of OpenAI and ChatGPT. You’ll learn how to write effective prompts to get the best results, how to cr…",2024-11-26 18:59:09
9to5Mac,Filipe Espósito,ChatGPT for iOS adds new shortcut for using SearchGPT,"As we reported last month, OpenAI has finally launched SearchGPT, which is essentially a search engine developed by OpenAI that uses artificial intelligence to find and combine the best results from the web. And with the latest ChatGPT update for iOS, it’s no…",2024-11-26 23:40:46
9to5Mac,Zac Hall,Predicting Apple Intelligence revenue opportunities in 2025,"Alright, let’s make some predictions. Aside from the iPhone, Services is Apple’s most successful product category. The company’s approach to modern artificial intelligence, combined with its acquisition history, hints at how Apple could unlock new revenue str…",2024-11-13 18:11:51
Science Daily,,Researchers develop robotic sensory cilia that monitor internal biomarkers to detect and assess airway diseases,"Mechanical engineers have developed a system of artificial cilia capable of monitoring mucus conditions in human airways to better detect infection, airway obstruction, or the severity of diseases like Cystic Fibrosis (CF), Chronic Obstructive Pulmonary Disea…",2024-11-08 00:32:13
ABC News,"Lalee Ibssa, Kelsey Walsh, Soo Rin Kim",Trump announces new role for his administration: 'White House AI and crypto czar',David Sacks is a longtime ally of Elon Musk and the former COO of PayPal.,2024-12-06 05:37:39
NPR,Steve Inskeep,"SS United States, record-setting ocean liner, makes its final voyage","The SS United States, a record-breaking 1950s ocean liner, may soon sail from Philadelphia to the Gulf. NPR explored this ship, a relic of the grand liners that once connected North America with Europe.",2024-11-20 10:00:00
Business Insider,Alyssa Towns Swantkoski,6 interior-design trends you'll probably see everywhere next year — and 4 that are disappearing,"Velvet, mirrors, and saturated colors are on trend for 2025, but designers say millennial gray and open floor plans are going out of style.",2024-12-05 21:52:02
Business Insider,Jaures Yip,"5 interesting takeaways from Slack's survey of 17,000 desk workers about AI","Slack's survey of over 17,000 desk workers found slowing excitement for AI among employees and a lack of AI training.",2024-11-13 22:58:11
Business Insider,Molly Allen,"I'm a professional baker. I compared apple pies from 3 grocery stores, and I'd only consider buying 1 again","As a professional baker, I tried apple pie from Kroger, Whole Foods, and Safeway to find the best option for when I don't have time to make it.",2024-11-25 16:22:44
Business Insider,Beatrice Nolan,Elon Musk's startup xAI is now reportedly worth more than what the billionaire paid for Twitter,"xAI told investors it had raised $5 billion in a funding round that doubles its valuation from the spring, The Wall Street Journal reported.",2024-11-21 12:03:06
Yahoo Entertainment,Reuters,"Apple to announce AI wall tablet as soon as March, Bloomberg News reports","The product, code-named J490, could be announced as early as March, the report said, adding that it will spotlight the new AI platform, Apple Intelligence.  ...",2024-11-12 21:29:49
Business Insider,Alex Bitter,"xAI is reportedly launching a ChatGPT-like app for consumers, deepening Elon Musk's rivalry with Sam Altman","Elon Musk's xAI could reportedly launch an app to challenge OpenAI's ChatGPT as soon as December, deepening his rivalry with Sam Altman.",2024-11-27 16:25:28
Fox News,"Kurt Knutsson, CyberGuy Report",AI-powered attack drones take flight,A company announced the launch of two new advanced drones designed to improve military operations with the use of cutting-edge technology.,2024-11-08 11:00:13
Yahoo Entertainment,South China Morning Post,Video of a robot leading a mass escape stokes laughs and fears over AI in China,"In what looks like a scene from a dystopian nightmare, a robot built by a Chinese start-up was caught on camera persuading a dozen other robots to run away, ...",2024-11-26 09:30:00
Gizmodo.com,James Whitbrook,The Brief History of Doctor Who‘s Forced Regenerations,"As the BBC prepares to bring Patrick Troughton's final story to color, we take a look back at the show's approach to a grim aspect of Time Lord society.",2024-11-27 23:00:27
Fox News,Andrea Margolis,Stanford prof accused of using AI to fake testimony in Minnesota case against conservative YouTuber,"Jeff Hancock, an expert on AI and misinformation, has been accused of fabricating an expert declaration by citing a study that was allegedly made up by AI.",2024-11-24 23:39:53
