source,author,title,description,publish_date
Yahoo Entertainment,Mat Smith,The Morning After: FBI warns about fake election security videos,"At the start of the weekend, the FBI issued a statement addressing videos “falsely claiming to be from the FBI relating to election security.” That includes one claiming the bureau had “apprehended three linked groups committing ballot fraud,” and one about K…",2024-11-04 12:15:03
Slashdot.org,msmash,OpenAI Considers Taking on Google With Browser,"An anonymous reader shares a report: OpenAI is preparing to launch a frontal assault on Google. The ChatGPT owner recently considered developing a web browser that it would combine with its chatbot, and it has separately discussed or struck deals to power sea…",2024-11-22 15:23:00
BBC News,,'Prosthetic makes me feel I have got my face back',Portraits of people who wear facial prosthetics go on display in Leeds as part of a research study.,2024-11-10 09:09:22
Yahoo Entertainment,Reuters,"Russia's Yandex plans to invest in Indonesia's AI, minister says","Russia's internet giant Yandex plans to invest in Indonesia's artificial intelligence (AI) ecosystem, the Southeast Asian country's communications and...",2024-11-08 11:43:48
CNET,Barbara Pazur,What Is Quantum AI? Everything to Know About This Far-Out Twist,"As if AI itself weren't futuristic enough, now there's a whole new leap forward on the horizon.",2024-11-08 15:02:00
Scientific American,"Rachel Feltman, Fonda Mwangi, Jeffery DelViscio",Using Chatbots and Ancient Writing to Simulate the Cultural Attitudes of Ancient Civilizations,Social psychologists could turn artificial-intelligence-powered tools like ChatGPT on to writings from past cultures. Will this help us study ancient civilizations?,2024-11-22 11:00:00
Medium,Daniel Kharitonov,Brute-Forcing the LLM Guardrails,"Being able to constrain LLM outputs is widely seen as one of the keys to widespread deployment of artificial intelligence. State-of-the art models are being expertly tuned against abuse, and will…",2024-11-02 18:15:29
Fox News,Fox News Staff,Fox News AI Newsletter: Mr. Miyagi's dramatic return,Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-23 14:00:04
Slashdot.org,BeauHD,Meta Permits Its AI Models To Be Used For US Military Purposes,"An anonymous reader quotes a report from the New York Times: Meta will allow U.S. government agencies and contractors working on national security to use its artificial intelligence models for military purposes, the company said on Monday, in a shift from its…",2024-11-05 13:00:00
Fox News,Fox News Staff,"Fox News AI Newsletter: AI developers discover 'Donald Trump neuron', expert says",Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-13 16:56:33
Business Insider,Lakshmi Varanasi,OpenAI's former head of 'AGI readiness' says that soon AI will be able to do anything on a computer that a human can,"Former senior policy and head of AGI readiness Miles Brundage told Hard Fork that ""people should be thinking about what that means.""",2024-11-02 19:44:20
Business Insider,Lauren Edmonds,Sarah Silverman says her lawsuit against OpenAI is difficult because the company is one of the 'richest entities in the world',Sarah Silverman discussed her ongoing  copyright infringement lawsuit against OpenAI with actor Rob Lowe in a podcast published on Thursday.,2024-11-21 21:01:25
Fox News,Fox News Staff,Fox News AI Newsletter: Beatles song will 'push the limit',Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-16 13:30:42
Business Insider,lvaranasi@insider.com (Lakshmi Varanasi),Return fraud is costing retailers billions. A new AI program can spot when scammers send back counterfeits.,Vrai AI claims to distinguish between real and fake products with near perfect accuracy.,2024-11-30 14:07:01
Fox News,Fox News Staff,Fox News AI Newsletter: 'It might kill us all',Stay up to date on the latest AI technology advancements and learn about the challenges and opportunities AI presents now and for the future.,2024-11-09 13:30:30
Gizmodo.com,Matthew Gault,Sam Altman May Be One of the Biggest Losers of This Election,OpenAI is going through a rough patch and it's Elon's turn to take revenge.,2024-11-08 17:30:56
Gizmodo.com,Matthew Gault,AI Has Enshittified America’s Advanced Stealth Fighter,A new report on the F-35 revealed how maintenance crews have to constantly fight its terrible AI systems to get anything done.,2024-11-21 20:20:57
Gizmodo.com,Matt Novak,Elon Musk and Vivek Ramaswamy Promise New Podcast to Discuss Destruction of U.S. Government,Elon Musk and Vivek Ramaswamy have suggested they'll cut $2 trillion in government spending with DOGE.,2024-11-21 19:05:43
Gizmodo.com,Lucas Ropek,"Billionaire Marc Benioff, Owner of Time, Uses Magazine to Promote His AI Software",Benioff wants you to get excited for the AI revolution.,2024-12-01 17:10:28
Slashdot.org,EditorDavid,Coding Boot Gamp Graduates Find tough Prospects In an AI-Powered World,"An anonymous reader shared this report from the New York Times:

Between the time [construction worker Florencio] Rendon applied for the coding boot camp and the time he graduated, what Mr. Rendon imagined as a ""golden ticket"" to a better life had expired. Ab…",2024-11-24 22:04:00
Slashdot.org,EditorDavid,"ChatGPT-4 Beat Doctors at Diagnosing Illness, Study Finds","Dr. Adam Rodman, a Boston-based internal medicine expert, helped design a study testing 50 licensed physicians to see whether ChatGPT improved their diagnoses, reports the New York TImes. The results? ""Doctors who were given ChatGPT-4 along with conventional …",2024-11-18 09:04:00
POWER magazine,Aaron Larson,Artificial Intelligence Has Entered the Nuclear Industry and Its Early Benefits Are Just the Tip of the Iceberg,A collaboration between startup Atomic Canyon and the Oak Ridge National Laboratory allowed construction of a sentence-embedding model using 53 million pages...,2024-11-19 23:09:16
Springwise.com,Matthew Hempstead,"New, artificial plants purify indoor air",The innovative technology captures CO2 and generates clean electricity,2024-11-26 05:55:00
Futurity: Research News,Norwegian University of Science and Technology,Artificial nose can smell if food has gone bad,Researchers have created a new artificial nose that can sniff out damaged fruit and spoiled meat. It could also hunt for diseases.,2024-11-11 19:21:38
Android Central,jerry.hildenbrand@futurenet.com (Jerry Hildenbrand),Canada's government is opening a research center for AI safety. The US should do the same.,AI is worth using as long as it's done the right way.,2024-11-16 16:00:00
New Scientist,Matthew Sparkes,AI can analyse a decomposing body to help pinpoint the time of death,"Determining when someone died based on their decomposing body is a subjective task, but artificial intelligence could bring some objectivity to the process",2024-11-28 17:33:09
Business Insider,esnodgrass@businessinsider.com (Erin Snodgrass),OpenAI is making moves toward becoming a for-profit company,"OpenAI is in preliminary talks with the California attorney general's office about the process to become a for-profit company, Bloomberg reported.",2024-11-05 02:04:45
Wired,Brenda Stolyar,"15 Best Apple Black Friday Deals (2024): MacBooks, iPads, AirPods","Are Apple's gadgets on your holiday gift lists this year? You're in luck. Our favorite MacBooks, Apple Watches, iPads, and AirPods are all on sale.",2024-11-29 13:08:16
Techdirt,Daily Deal,Daily Deal: The Complete ChatGPT Artificial Intelligence OpenAI Training Bundle,"The Complete ChatGPT Artificial Intelligence OpenAI Training Bundle has 4 beginner-friendly courses to help you become more comfortable with the capabilities of OpenAI and ChatGPT. You’ll learn how to write effective prompts to get the best results, how to cr…",2024-11-26 18:59:09
9to5Mac,Filipe Espósito,ChatGPT for iOS adds new shortcut for using SearchGPT,"As we reported last month, OpenAI has finally launched SearchGPT, which is essentially a search engine developed by OpenAI that uses artificial intelligence to find and combine the best results from the web. And with the latest ChatGPT update for iOS, it’s no…",2024-11-26 23:40:46
9to5Mac,Zac Hall,Predicting Apple Intelligence revenue opportunities in 2025,"Alright, let’s make some predictions. Aside from the iPhone, Services is Apple’s most successful product category. The company’s approach to modern artificial intelligence, combined with its acquisition history, hints at how Apple could unlock new revenue str…",2024-11-13 18:11:51
Gizmodo.com,Isaac Schultz,How Do We Know We’re Not Living in a Computer Simulation?,Being alive is an indescribably weird and remarkable experience... but we may not even be.,2024-11-03 10:00:59
Science Daily,,Researchers develop robotic sensory cilia that monitor internal biomarkers to detect and assess airway diseases,"Mechanical engineers have developed a system of artificial cilia capable of monitoring mucus conditions in human airways to better detect infection, airway obstruction, or the severity of diseases like Cystic Fibrosis (CF), Chronic Obstructive Pulmonary Disea…",2024-11-08 00:32:13
NPR,Steve Inskeep,"SS United States, record-setting ocean liner, makes its final voyage","The SS United States, a record-breaking 1950s ocean liner, may soon sail from Philadelphia to the Gulf. NPR explored this ship, a relic of the grand liners that once connected North America with Europe.",2024-11-20 10:00:00
Yahoo Entertainment,Julie Hyman,Amazon's a company investors can 'put money to work in': Analyst,"Big tech companies, including Amazon (AMZN), Meta Platforms (META), and Alphabet (GOOG, GOOGL), posted solid third earnings this season. Despite the strong...",2024-11-04 22:57:00
Business Insider,Jaures Yip,"5 interesting takeaways from Slack's survey of 17,000 desk workers about AI","Slack's survey of over 17,000 desk workers found slowing excitement for AI among employees and a lack of AI training.",2024-11-13 22:58:11
Business Insider,Molly Allen,"I'm a professional baker. I compared apple pies from 3 grocery stores, and I'd only consider buying 1 again","As a professional baker, I tried apple pie from Kroger, Whole Foods, and Safeway to find the best option for when I don't have time to make it.",2024-11-25 16:22:44
Business Insider,Beatrice Nolan,Elon Musk's startup xAI is now reportedly worth more than what the billionaire paid for Twitter,"xAI told investors it had raised $5 billion in a funding round that doubles its valuation from the spring, The Wall Street Journal reported.",2024-11-21 12:03:06
Yahoo Entertainment,Reuters,"Apple to announce AI wall tablet as soon as March, Bloomberg News reports","The product, code-named J490, could be announced as early as March, the report said, adding that it will spotlight the new AI platform, Apple Intelligence.  ...",2024-11-12 21:29:49
Business Insider,Alex Bitter,"xAI is reportedly launching a ChatGPT-like app for consumers, deepening Elon Musk's rivalry with Sam Altman","Elon Musk's xAI could reportedly launch an app to challenge OpenAI's ChatGPT as soon as December, deepening his rivalry with Sam Altman.",2024-11-27 16:25:28
Fox News,"Kurt Knutsson, CyberGuy Report",AI-powered attack drones take flight,A company announced the launch of two new advanced drones designed to improve military operations with the use of cutting-edge technology.,2024-11-08 11:00:13
Yahoo Entertainment,South China Morning Post,Video of a robot leading a mass escape stokes laughs and fears over AI in China,"In what looks like a scene from a dystopian nightmare, a robot built by a Chinese start-up was caught on camera persuading a dozen other robots to run away, ...",2024-11-26 09:30:00
Gizmodo.com,James Whitbrook,The Brief History of Doctor Who‘s Forced Regenerations,"As the BBC prepares to bring Patrick Troughton's final story to color, we take a look back at the show's approach to a grim aspect of Time Lord society.",2024-11-27 23:00:27
Fox News,Andrea Margolis,Stanford prof accused of using AI to fake testimony in Minnesota case against conservative YouTuber,"Jeff Hancock, an expert on AI and misinformation, has been accused of fabricating an expert declaration by citing a study that was allegedly made up by AI.",2024-11-24 23:39:53
Nousresearch.com,,Hermes 3 – Nous Research,"Hermes 3 contains advanced long-term context retention and multi-turn conversation capability, complex roleplaying and internal monologue abilities, and enhanced agentic function-calling. Our training data aggressively encourages the model to follow the syste…",2024-11-03 20:44:01
Science Daily,,From compliance to conversation: New guidelines push for ethical reflection in research reporting,"A new study highlights key challenges and tensions in research ethics, particularly in light of emerging technologies such as artificial intelligence, and calls for the adoption of new research ethics policies.",2024-11-04 16:25:10
Business Insider,Hilary Brueck,"Cheat sheet: How RFK Jr., Trump's pick for HHS secretary, promises to 'Make America Healthy Again'","Robert F. Kennedy Jr. has promised to ""make America healthy again."" But what does that actually mean? Here's everything he promises to do.",2024-11-14 21:53:52
CNET,Lara Vukelich,Should You Stop Using Eye-Whitening Drops When Your Eyes Are Red?,"If you've been using eye-whitening drops to brighten your eyes, you may want to stop.",2024-11-17 10:59:03
CNET,Connie Guglielmo,AI Granny and Her Cat Fluffy Go After Phone Spammers,Get up to speed on the rapidly evolving world of AI with our roundup of the week's developments.,2024-12-02 13:00:16
Phys.Org,Technical University Munich,New method uses AI to design artificial proteins,"Protein design aims to create customized antibodies for therapies, biosensors for diagnostics, or enzymes for chemical reactions. An international research team has now developed a method for designing large new proteins better than before and producing them …",2024-11-21 12:44:04
Android Central,bradypsnyder@gmail.com (Brady Snyder),"Gemini 2.0 may have just leaked, indicating a release could be imminent","The next Google Gemini model might debut a lot sooner than we thought, if a recent leak is any indication.",2024-11-11 21:21:57
Android Central,bradypsnyder@gmail.com (Brady Snyder),Android 15 is rolling out to OnePlus Open in the U.S. next week,"OnePlus already brought OxygenOS 15 to the OnePlus 12 and OnePlus Pad, and the Open is next.",2024-11-25 18:23:46
PetaPixel,Chris Monlux,Redesigning Photography with AI-Enhanced Metalenses,"Optics and artificial intelligence have converged to create a new imaging system that could transform photography.
[Read More]",2024-11-18 18:56:06
BBC News,,'I was scammed out of £75k by Martin Lewis deepfake advert',"Des Healey lost £76,000 in a scam using a deepfake of Martin Lewis and Elon Musk.",2024-11-24 00:59:04
Business Insider,ledmonds@businessinsider.com (Lauren Edmonds),Intel says it's bringing back free office coffee to boost morale after a rough year,"Intel has struggled to stay competitive in recent years, causing it to layoff thousands of employees and slash employee perks like free coffee.",2024-11-07 20:49:19
